hhid,mobile_money,bank_account,vsla_account,sacco_account,online_bank_account,no_account,weight,district,hh_location,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco_1,mm_account_telco_2,mm_account_telco_3,mm_account_telco_main,undrstd_terms_nd_cond,agent_trust,taken_mm_loan,ntwrk_unavailable_mm_txn,clear_about_txn_fees,txn_ever_failed,agent_ever_not_had_enough_cash,have_copy_of_terms_nd_cond,undrstd_hw_nd_whr_to_complain,had_issue_reslvd_after_complaint,understand_data_mm_providers_collect,been_victim_of_fraud
1001,TRUE,TRUE,TRUE,NA,NA,NA,145.94,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
1002,NA,NA,TRUE,TRUE,NA,NA,122.91,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,,,no,,yes,yes,yes,no,no,no,,no,no
1003,TRUE,TRUE,NA,NA,NA,NA,760.46,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no
1004,TRUE,TRUE,NA,TRUE,NA,NA,433.96,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,,,no,no,,no,no,no,no,no,yes,,no,no
1005,TRUE,NA,TRUE,NA,NA,NA,303.04,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no
1006,NA,NA,TRUE,NA,NA,NA,"1,053.44",District_B,Rural,female,36,7,primary 3,no,yes,,,,,,,,,,,,,,,,,
1007,NA,NA,TRUE,NA,NA,NA,259.3,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,,,no,yes,no,yes,no,no,,no,no
1008,TRUE,NA,TRUE,TRUE,NA,NA,673.11,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A,Company_C,,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
1009,NA,NA,TRUE,NA,NA,NA,471.62,District_C,Rural,female,37,5,primary 6,yes,yes,no,,,,,,,,yes,yes,yes,no,no,yes,,no,no
1010,TRUE,TRUE,NA,NA,TRUE,NA,289.41,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A,Company_B,Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
1011,TRUE,NA,TRUE,NA,NA,NA,233.16,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A,Company_B,,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no
1012,NA,NA,NA,NA,NA,TRUE,"1,335.62",District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,,,
1013,TRUE,NA,TRUE,NA,NA,NA,157.29,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,no,,no,no
1014,NA,NA,TRUE,NA,NA,NA,390.09,District_C,Rural,female,32,4,primary 3,no,yes,,,,,,,,,,,,,,,,,
1015,TRUE,NA,TRUE,TRUE,NA,NA,224.37,District_B,Rural,female,31,5,,no,yes,no,Company_A,,,,yes,no,,no,yes,no,no,no,yes,,no,no
1016,NA,NA,TRUE,NA,NA,NA,301.16,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,,,
1017,NA,NA,NA,NA,NA,TRUE,509.1,District_A,Urban,female,20,9,other,yes,yes,yes,,,,,,,,no,no,no,no,no,no,no,no,yes
1018,TRUE,NA,NA,TRUE,NA,NA,688.55,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,,,,,,,,,
1019,TRUE,NA,TRUE,TRUE,NA,NA,192.66,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A,Company_B,Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
1020,NA,NA,NA,NA,NA,TRUE,278.16,District_C,Rural,female,70,2,primary 1,no,,,,,,,,,,,,,,,,,,
1021,TRUE,TRUE,NA,TRUE,NA,NA,211.93,District_C,Urban,female,33,6,university,no,yes,yes,Company_A,Company_B,,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no
1022,TRUE,NA,TRUE,TRUE,NA,NA,522.94,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,,,no,,no,no,no,yes,no,yes,,yes,no
1023,TRUE,NA,NA,NA,NA,NA,216.59,District_B,Rural,male,24,3,primary 3,no,yes,no,Company_B,,,,yes,,,no,yes,no,yes,no,yes,yes,yes,no
1024,TRUE,TRUE,NA,NA,NA,NA,210.97,District_A,Rural,female,23,3,university,no,yes,no,Company_A,,,,yes,no,no,no,yes,no,yes,no,yes,,no,no
1025,NA,NA,NA,NA,NA,TRUE,"1,667.69",District_C,Rural,female,27,5,secondary 2,yes,yes,no,,,,,,no,,yes,no,yes,no,no,yes,,no,no
1026,NA,NA,TRUE,NA,NA,NA,204.34,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,,,
1027,TRUE,NA,NA,NA,NA,NA,433.18,District_B,Rural,female,21,4,primary 6,no,yes,no,Company_B,,,,no,no,,no,no,yes,no,no,no,,no,no
1028,TRUE,NA,TRUE,NA,NA,NA,137.84,District_A,Rural,male,24,5,primary 4,no,yes,no,Company_B,,,,no,no,,no,yes,no,no,no,no,,yes,no
1029,TRUE,NA,NA,NA,NA,NA,108.19,District_A,Urban,female,39,3,primary 6,no,yes,no,Company_A,,,,yes,no,no,yes,no,no,no,no,yes,yes,yes,no
1030,NA,NA,NA,NA,NA,TRUE,"3,163.53",District_B,Rural,male,26,3,primary 3,no,yes,no,,,,,,,,,,,,,,,,
1031,TRUE,NA,NA,NA,NA,NA,216.59,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,yes,,no,no
1032,TRUE,TRUE,TRUE,NA,NA,NA,231.95,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no
1033,TRUE,TRUE,TRUE,TRUE,NA,NA,"1,018.96",District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,,,no,yes,,no,yes,no,no,no,yes,,no,no
1034,NA,NA,NA,TRUE,NA,NA,163.97,District_B,Rural,female,25,3,primary 1,yes,yes,no,,,,,,,,no,no,no,no,no,no,,no,no
1035,TRUE,NA,TRUE,NA,NA,NA,573.04,District_B,Rural,female,50,3,primary 5,no,yes,no,Company_A,Company_B,,Company_B,yes,no,,no,no,no,no,no,no,,yes,no
1036,TRUE,NA,NA,TRUE,NA,NA,211.14,District_B,Rural,male,44,7,,no,yes,no,Company_A,,,,yes,yes,,yes,no,yes,yes,no,no,,no,no
1037,NA,NA,TRUE,TRUE,NA,NA,662.47,District_C,Rural,female,40,4,primary 6,no,yes,,,,,,,,,,,,,,,,,
1038,TRUE,TRUE,TRUE,NA,NA,NA,443.21,District_B,Rural,female,24,5,secondary 6,no,yes,no,Company_A,Company_B,,Company_B,yes,yes,,no,yes,no,yes,no,no,yes,no,no
1039,TRUE,TRUE,NA,NA,NA,NA,192.94,District_A,Urban,female,59,5,tvet,no,yes,yes,Company_A,,,,no,no,,yes,no,no,yes,no,yes,,no,no
1040,TRUE,NA,TRUE,NA,NA,NA,211.05,District_B,Rural,female,28,4,primary 2,no,yes,no,Company_A,Company_B,,Company_B,yes,no,,no,yes,no,no,no,yes,,yes,no
1041,TRUE,NA,NA,NA,NA,NA,305.84,District_C,Rural,female,58,2,primary 4,no,yes,no,Company_B,,,,yes,no,,no,no,no,no,no,yes,,no,no
1042,TRUE,NA,TRUE,NA,NA,NA,646.68,District_C,Rural,female,26,5,primary 5,no,yes,no,Company_B,,,,yes,no,,yes,yes,no,no,no,no,,no,no
1043,TRUE,TRUE,NA,NA,NA,NA,216.59,District_B,Rural,male,60,4,primary 1,no,yes,no,Company_A,Company_B,,Company_A,yes,yes,,yes,no,yes,no,no,no,,no,no
1044,TRUE,NA,TRUE,NA,NA,NA,266.73,District_A,Rural,female,24,3,secondary 6,no,no,no,Company_A,Company_B,,Company_A,no,no,,yes,no,yes,yes,no,yes,yes,no,no
1045,TRUE,NA,NA,TRUE,NA,NA,229.13,District_C,Rural,female,65,4,primary 6,no,yes,no,Company_A,Company_B,,Company_B,no,,,yes,no,no,no,no,no,,no,no
1046,TRUE,NA,TRUE,TRUE,NA,NA,367.53,District_B,Rural,female,35,4,primary 1,no,yes,yes,Company_B,,,,yes,,,yes,yes,yes,yes,yes,no,,no,no
1047,TRUE,TRUE,TRUE,NA,NA,NA,196.72,District_C,Rural,male,31,6,tvet,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,yes,,yes,no
1048,NA,NA,TRUE,TRUE,NA,NA,"1,125.61",District_B,Rural,female,60,3,,no,yes,no,,,,,,,,,,,,,,,,
1049,NA,NA,TRUE,TRUE,NA,NA,"1,169.09",District_C,Rural,female,47,7,primary 6,no,yes,,,,,,,,,,,,,,,,,
1050,NA,NA,TRUE,NA,NA,NA,801.16,District_C,Rural,female,48,2,,yes,yes,no,,,,,,,,no,yes,no,,,no,,no,no
1051,NA,NA,TRUE,TRUE,NA,NA,239.47,District_C,Rural,male,58,3,primary 6,yes,yes,yes,,,,,,,,,,,,,,,,
1052,TRUE,NA,TRUE,NA,NA,NA,578.76,District_B,Rural,male,23,5,primary 6,no,yes,no,Company_A,Company_C,,Company_A,yes,no,,yes,yes,no,no,no,no,,no,no
1053,TRUE,NA,TRUE,NA,NA,NA,112.18,District_B,Rural,female,72,2,,no,yes,no,Company_B,,,,no,,,no,yes,no,no,no,no,,no,no
1054,NA,NA,NA,NA,NA,TRUE,"1,702.26",District_B,Rural,female,28,2,,no,yes,no,,,,,,,,,,,,,,,,
1055,TRUE,NA,TRUE,NA,NA,NA,853.48,District_C,Rural,female,21,8,secondary 3,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,yes,,no,no
1056,TRUE,NA,TRUE,NA,NA,NA,284.44,District_A,Urban,male,25,8,primary 6,no,yes,no,Company_A,Company_B,Company_C,Company_A,yes,no,no,no,no,no,yes,no,yes,,yes,no
1057,NA,NA,TRUE,NA,NA,NA,521.87,District_B,Rural,male,33,6,,no,yes,no,,,,,,,,,,,,,,,,
1058,NA,NA,NA,TRUE,NA,NA,63.64,District_A,Urban,female,66,7,primary 4,yes,no,,,,,,,,,,,,,,,,,
1059,TRUE,NA,NA,NA,NA,NA,283.23,District_A,Urban,male,32,2,primary 3,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,no,yes,no,yes,no,yes,yes,no,no
1060,TRUE,TRUE,TRUE,TRUE,NA,NA,291.89,District_A,Urban,female,62,3,secondary 3,no,yes,no,Company_A,,,,no,no,,yes,yes,no,yes,yes,yes,,no,no
1061,TRUE,NA,TRUE,TRUE,NA,NA,308.39,District_C,Rural,male,31,4,primary 6,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,yes,,no,no
1062,NA,TRUE,TRUE,TRUE,NA,NA,"2,089.35",District_C,Rural,female,51,3,,no,yes,no,,,,,,,,,,,,,,,,
1063,NA,NA,NA,NA,NA,TRUE,180.51,District_A,Urban,female,28,5,primary 6,yes,yes,no,,,,,,,,yes,yes,no,yes,no,yes,,no,no
1064,TRUE,NA,NA,TRUE,NA,NA,281.3,District_A,Rural,female,30,6,primary 3,no,yes,no,Company_B,Company_C,,Company_B,yes,no,,yes,yes,no,yes,no,yes,,no,no
1065,NA,NA,TRUE,NA,NA,NA,111.35,District_A,Rural,female,33,7,,no,yes,no,,,,,,,,,,,,,,,,
1066,TRUE,NA,TRUE,NA,NA,NA,186.53,District_B,Rural,male,79,5,,no,yes,no,Company_A,,,,,no,,no,no,no,no,no,no,,no,no
1067,TRUE,NA,TRUE,NA,NA,NA,448.74,District_B,Rural,male,35,5,primary 3,no,yes,no,Company_A,,,,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no
1068,NA,TRUE,NA,NA,NA,NA,611.67,District_C,Rural,male,48,5,university,no,yes,yes,,,,,,,,,yes,yes,,no,,,,no
